age,ed,lninc,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,carvalue,commutetime,longmon,lnlongmon,tollten,equipten,cardmon,cardten,wireten,hourstv,income,total_spend,total_spend_ln,birthmonth,jobcat,union,employ,retire,default,marital,homeown,address,carbuy,commute,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,polparty,polcontrib,vote,cardfee,cardtenure,card2fee,card2tenure,active,churn,tollfree,equip,callcard,wireless,multline,voice,pager,callid,callwait,forward,confer,ebill,owntv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,region_2,region_3,region_4,region_5,townsize_2,townsize_3,townsize_4,townsize_5,gender_1,agecat_3,agecat_4,agecat_5,agecat_6,edcat_2,edcat_3,edcat_4,edcat_5,empcat_2,empcat_3,empcat_4,empcat_5,inccat_2,inccat_3,inccat_4,inccat_5,jobsat_2,jobsat_3,jobsat_4,jobsat_5,spousedcat_1,spousedcat_2,spousedcat_3,spousedcat_4,spousedcat_5,hometype_2,hometype_3,hometype_4,addresscat_2,addresscat_3,addresscat_4,addresscat_5,cars_1,cars_2,cars_3,cars_4,cars_5,cars_6,cars_7,cars_8,carown_0,carown_1,cartype_0,cartype_1,carcatvalue_1,carcatvalue_2,carcatvalue_3,carbought_0,carbought_1,commutecat_2,commutecat_3,commutecat_4,commutecat_5,reason_2,reason_3,reason_4,reason_9,polview_2,polview_3,polview_4,polview_5,polview_6,polview_7,card_2,card_3,card_4,card_5,cardtype_2,cardtype_3,cardtype_4,cardbenefit_2,cardbenefit_3,cardbenefit_4,cardtenurecat_2,cardtenurecat_3,cardtenurecat_4,cardtenurecat_5,card2_2,card2_3,card2_4,card2_5,card2type_2,card2type_3,card2type_4,card2benefit_2,card2benefit_3,card2benefit_4,card2tenurecat_2,card2tenurecat_3,card2tenurecat_4,card2tenurecat_5,bfast_2,bfast_3,internet_1,internet_2,internet_3,internet_4
59,19,3.8501476017100584,8.6,1.3581119999999998,0.3060954999624963,2.683888,0.987266489475726,1,7,3,0,0,0,0,0,4,28.0,17.0,8.55,2.145931282948669,0.0,1568.35,19.0,930.0,0.0,26,47,811.04,6.698317374724039,7,1,0,8,0,0,0,0,14,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,16,0,17,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
33,8,2.9444389791664403,0.8999999999999999,0.130131,-2.0392136435999286,0.11429904,-2.1682409342213766,5,6,0,0,0,0,0,0,6,9.3,28.0,3.6,1.2809338454620642,0.0,0.0,0.0,0.0,0.0,27,19,393.43,5.974903161308757,10,2,0,4,0,0,1,0,5,1,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
44,10,4.290459441148391,2.8000000000000003,1.250928,0.22388567587164707,0.793072,-0.23184126701740562,1,1,0,1,0,0,0,0,0,38.5,25.0,6.75,1.9095425048844386,0.0,0.0,7.0,30.0,0.0,21,73,732.75,6.5968045795910015,3,1,0,12,0,0,0,1,9,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
58,18,4.143134726391533,10.5,1.9249649999999996,0.6549077857562743,4.690035,1.5454400451169095,1,0,0,0,0,0,0,0,0,-1.0,16.0,12.1,2.4932054526026954,1776.7,0.0,24.5,1415.0,0.0,21,63,978.44,6.88595946661168,1,1,0,3,0,0,0,1,32,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,25,0,17,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
72,20,2.833213344056216,9.8,1.276156,0.24385243450310526,0.3898440000000001,-0.9420086198797845,2,0,0,0,0,0,0,0,0,9.3,32.0,13.9,2.631888840136646,0.0,2580.75,23.25,1525.0,0.0,24,17,273.1,5.609838028479659,12,4,1,27,1,0,1,1,14,0,10,0,0,0,1,0,0,0,0,0,1,1,0,1,0,33,1,26,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
66,13,3.1354942159291497,9.3,0.934743,-0.06748365378627834,1.2042569999999997,0.18586277925782166,2,9,3,0,0,0,0,0,6,11.600000000000001,14.0,38.7,3.655839600035736,1919.0,0.0,64.25,4011.19999999999,3159.25,22,23,396.12,5.981717195653102,12,6,1,31,1,0,1,0,29,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,40,0,30,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
57,17,5.14166355650266,9.5,1.803195,0.5895600914512608,14.441805,2.670127125652831,3,1,0,1,0,0,0,0,0,75.8,19.0,4.15,1.423108334242607,1444.65,1990.25,29.25,1315.0,1840.45,17,171,402.17,5.996874884800257,10,4,0,24,0,0,1,1,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,19,0,13,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
63,14,5.605838763584888,10.7,13.111352,2.573478419842022,24.064260000000036,3.180802494885117,2,0,0,0,0,0,0,0,0,88.60000000000001,29.0,34.8,3.5496173867804286,3165.45,0.0,19.75,1325.0,0.0,24,424,1294.06,7.165539841837513,5,6,1,29,0,0,1,1,29,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,36,1,29,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
28,11,3.1354942159291497,4.8,0.19099200000000002,-1.6555237366294544,0.913008,-0.09101063610354213,3,10,1,0,0,0,0,0,9,-1.0,30.0,3.45,1.2383742310432684,1099.65,0.0,16.5,545.0,0.0,16,23,586.78,6.374649962525065,4,1,0,4,0,0,1,1,5,1,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,10,0,10,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
78,16,3.091042453358316,15.2,0.6922079999999999,-0.36786879049431287,2.651792,0.9752356378751661,1,0,0,0,0,0,0,0,0,10.8,23.0,7.3,1.9878743481543455,0.0,341.75,31.75,350.0,0.0,22,22,8.11,2.0930978681273213,6,1,0,10,1,0,0,0,29,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,10,0,7,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
61,16,3.5553480614894135,10.100000000000001,1.2337150000000001,0.2100299425688263,2.301285,0.8334676625749683,2,0,0,0,0,0,0,0,0,9.4,34.0,11.2,2.4159137783010487,0.0,0.0,9.5,480.0,0.0,25,35,512.36,6.239027502962935,6,1,0,4,0,0,1,0,29,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,15,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
70,17,3.332204510175204,9.3,1.1952360000000002,0.17834365542473107,1.408764,0.34271272421066723,2,9,0,0,1,0,0,0,8,15.700000000000001,29.0,14.25,2.6567569067146595,1366.65,0.0,15.25,840.0,0.0,21,28,347.25,5.850044981634453,9,2,1,2,0,0,1,0,14,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,26,0,17,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
61,14,2.4849066497880004,21.5,0.56502,-0.5708941502321102,2.01498,0.700609269791075,1,0,0,0,0,0,0,0,0,5.800000000000001,25.0,8.35,2.122261538862764,0.0,1790.8,11.5,675.0,0.0,13,12,308.66,5.732240347472685,4,6,0,18,1,0,0,1,12,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,24,0,22,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
37,11,3.367295829986474,15.7,3.319137,1.1997048093791662,1.233863,0.21014989825020883,1,0,0,0,0,0,0,0,0,-1.0,29.0,13.1,2.5726122302071057,1028.1,1663.95,10.5,380.0,1199.2,21,29,744.08,6.612148555934212,8,1,1,2,0,1,0,0,10,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,12,0,11,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
39,12,4.867534450455582,11.3,4.68611,1.5446028139884935,10.003890000000002,2.3029740173531614,4,5,0,0,0,0,0,0,5,49.2,32.0,1.85,0.6151856390902335,93.0,0.0,24.5,140.0,0.0,31,130,698.88,6.549479053676431,10,1,0,5,0,0,1,1,12,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
73,14,4.23410650459726,14.799999999999999,1.1641679999999999,0.1520066687915957,9.047832,2.2025251710021814,2,0,0,0,0,0,0,0,0,22.8,27.0,25.45,3.2367157429965316,1031.4,2874.15,10.0,595.0,3245.6,22,69,293.11,5.680547965183287,11,3,0,28,1,0,1,0,38,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,32,1,24,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
