region,townsize,gender,agecat,birthmonth,edcat,jobcat,union,employ,empcat,retire,inccat,default,jobsat,marital,spousedcat,homeown,hometype,address,addresscat,cars,carown,cartype,carcatvalue,carbought,carbuy,commute,commutecat,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,active,bfast,churn,tollfree,equip,callcard,wireless,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
3,1,1,6,December,2,6,1,31,5,1,1,0,5,1,2,0,2,29,5,3,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,2,2,1,1,1,3,3,4,0,40,5,4,2,1,0,30,5,0,2,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1
1,1,1,5,October,4,4,0,24,5,0,5,0,5,1,3,1,1,8,3,2,1,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,9,5,1,0,0,4,1,1,0,19,5,3,2,4,0,13,4,1,3,0,1,1,1,1,0,1,1,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
5,2,0,5,May,2,6,1,29,5,0,5,0,4,1,5,1,3,29,5,3,1,0,3,0,1,1,1,1,0,0,0,1,0,0,0,0,1,9,3,0,0,1,3,3,2,0,36,5,2,3,3,1,29,5,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0
5,5,1,3,April,1,1,0,4,2,0,1,0,1,1,2,1,1,5,2,0,-1,-1,-1,-1,1,4,3,0,0,0,1,0,0,0,0,0,1,9,5,1,0,0,2,2,4,0,10,3,3,3,3,0,10,3,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0
1,1,1,6,June,3,1,0,10,3,1,1,0,3,0,-1,0,1,29,5,2,1,1,1,0,1,3,2,1,0,1,0,0,0,0,0,0,0,9,2,0,1,0,2,3,1,0,10,3,3,2,2,0,7,3,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0
3,3,0,5,June,3,1,0,4,2,0,2,0,3,1,2,0,2,29,5,4,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,9,2,0,0,0,1,4,1,0,27,5,4,2,3,0,15,4,0,3,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0
2,4,0,6,September,4,2,1,2,2,0,2,0,1,1,4,0,2,14,3,5,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,9,6,1,0,1,1,1,3,1,26,5,4,2,4,0,17,5,1,2,1,1,0,1,0,1,0,1,3,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0
4,1,0,5,April,2,6,0,18,5,1,1,0,5,0,-1,1,3,12,3,3,1,0,1,1,0,4,3,1,0,0,1,0,0,0,0,0,0,9,3,1,0,0,1,1,2,0,24,5,3,3,1,0,22,5,0,2,0,0,1,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
3,4,0,4,August,1,1,1,2,2,0,2,1,3,0,-1,0,2,10,3,0,-1,-1,-1,-1,1,5,3,0,0,0,1,1,0,0,0,0,0,9,4,0,0,0,5,1,2,1,12,4,4,2,2,0,11,4,1,1,0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0
1,3,0,4,October,2,1,0,5,2,0,5,0,5,1,2,1,1,12,3,2,1,0,3,1,0,1,1,1,0,0,1,1,0,0,0,0,0,9,1,1,1,1,4,4,4,1,2,2,3,2,2,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0
4,3,1,6,November,2,3,0,28,5,1,3,0,3,1,3,0,2,38,5,1,1,1,2,1,0,1,1,1,0,0,1,0,0,0,1,0,0,9,5,0,0,0,2,2,3,0,32,5,3,2,4,1,24,5,0,3,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
5,4,1,3,June,3,2,0,0,1,0,1,1,2,1,4,0,2,5,2,4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,9,6,1,1,0,4,1,1,1,8,3,1,2,3,0,4,2,1,3,1,0,1,1,0,1,0,0,4,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0
2,1,1,2,April,4,6,0,1,1,0,2,1,1,0,-1,1,1,4,2,0,-1,-1,-1,-1,0,10,5,0,0,1,0,0,0,1,1,0,1,9,6,0,1,1,4,1,4,0,5,2,3,3,1,0,5,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0
3,1,1,6,May,3,1,0,26,5,1,1,0,5,0,-1,1,4,57,5,2,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,9,2,1,1,0,2,1,1,0,39,5,4,4,1,0,30,5,1,2,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0
5,3,0,4,March,4,1,1,3,2,0,2,0,4,0,-1,1,3,16,4,3,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,9,1,1,1,1,1,1,3,0,10,3,2,1,4,0,11,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0
3,5,0,5,December,2,3,0,23,5,0,4,0,5,0,-1,1,3,27,5,4,1,0,2,0,1,1,1,1,0,1,1,0,0,0,0,1,0,9,6,0,0,0,2,4,3,1,21,5,4,3,2,0,17,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0
2,2,1,5,March,4,1,0,13,4,0,3,0,5,1,2,0,2,27,5,2,1,0,2,0,1,1,1,1,0,1,1,0,0,0,0,0,0,9,6,1,1,0,4,2,2,0,38,5,2,4,3,1,29,5,1,3,0,1,1,1,1,1,1,1,4,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1
1,1,1,5,February,1,2,1,4,2,0,2,0,5,1,1,0,2,6,2,0,-1,-1,-1,-1,1,4,3,0,0,0,1,0,0,0,0,0,0,9,4,1,1,0,2,1,1,1,2,2,1,2,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,3,October,1,2,1,1,1,0,1,1,2,1,2,0,1,5,2,3,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,9,5,1,0,1,3,1,2,0,7,3,5,4,1,0,6,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
3,3,0,5,August,5,2,0,11,4,0,5,0,5,1,4,1,1,20,4,0,-1,-1,-1,-1,0,10,5,0,1,0,0,0,0,0,1,0,1,9,6,1,1,1,4,2,1,0,13,4,1,4,3,0,8,3,0,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
4,5,0,4,August,2,2,0,5,2,0,2,1,4,0,-1,0,2,6,2,3,1,0,2,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,2,1,0,1,4,1,1,0,13,4,1,1,2,0,11,4,0,3,0,0,1,0,0,1,0,0,3,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0
3,1,0,4,February,5,5,0,17,5,0,5,0,4,1,4,1,1,20,4,1,1,1,3,0,0,8,4,0,0,1,0,0,0,0,1,0,0,1,7,0,1,1,1,4,1,0,29,5,4,2,3,0,27,5,0,3,0,0,1,1,1,1,1,1,3,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0
5,2,0,6,April,1,2,0,2,2,1,1,0,2,0,-1,0,2,35,5,1,1,0,1,1,0,5,3,0,0,0,1,1,1,0,0,0,0,9,3,0,0,0,4,3,4,0,23,5,2,2,2,0,15,4,0,2,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0
2,3,1,4,February,5,1,1,3,2,0,3,0,3,1,5,1,1,20,4,1,1,1,2,1,0,5,3,0,0,0,1,1,0,0,1,0,0,9,4,0,0,1,4,4,3,1,13,4,2,3,3,0,13,4,1,1,1,1,1,0,1,1,1,1,4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
1,1,1,5,May,2,1,0,15,4,0,3,0,3,0,-1,0,2,25,4,1,1,0,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,9,4,1,0,0,4,2,3,0,13,4,3,3,4,0,15,4,0,1,0,1,0,1,1,0,0,0,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1
1,2,1,5,September,2,3,0,10,3,0,3,0,2,1,1,1,1,32,5,2,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,9,4,1,0,0,1,1,3,0,22,5,3,1,4,0,15,4,0,2,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0
5,2,0,3,April,2,1,0,1,1,0,3,1,2,0,-1,0,2,3,2,0,-1,-1,-1,-1,1,8,4,0,0,0,0,1,0,0,1,0,0,9,5,0,0,1,4,4,4,0,7,3,2,1,1,0,7,3,1,1,0,0,1,1,0,1,1,0,2,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1
5,4,0,6,September,1,3,0,30,5,1,2,0,5,1,3,0,3,36,5,2,1,0,1,1,0,4,3,0,0,1,1,0,0,0,0,0,1,2,4,0,1,1,2,3,2,0,14,4,5,1,1,1,12,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,4,November,1,2,0,2,2,0,1,1,2,0,-1,1,3,22,4,2,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,9,5,0,0,0,5,3,2,0,11,4,3,2,1,0,10,3,1,3,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1
5,1,0,4,August,4,2,0,1,1,0,4,0,4,1,5,0,2,24,4,1,1,1,3,1,0,3,2,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,1,1,4,0,15,4,4,4,4,0,12,4,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0
5,1,0,6,February,1,2,0,11,4,0,2,0,2,1,1,1,3,13,3,1,1,0,1,0,0,4,3,0,0,0,1,0,0,0,1,0,0,9,6,1,1,0,1,2,2,0,3,2,3,2,4,0,6,3,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
3,1,1,4,August,4,2,0,4,2,0,2,0,1,1,5,1,3,11,3,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,9,4,1,0,1,4,1,3,1,9,3,1,2,3,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
5,5,0,4,December,1,6,0,15,4,0,2,0,2,1,1,1,1,25,4,1,1,1,2,1,0,8,4,1,0,1,1,1,0,0,1,0,0,9,5,1,0,0,3,2,2,1,27,5,2,3,4,1,20,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
5,4,0,2,December,3,3,0,0,1,0,2,1,1,0,-1,0,2,1,1,2,1,0,1,1,0,5,3,0,1,0,1,1,0,0,0,0,0,9,6,0,1,1,4,3,1,0,3,2,3,1,1,0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0
2,1,0,5,December,5,3,0,19,5,0,5,1,2,0,-1,1,1,25,4,2,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,1,9,6,1,0,1,4,1,3,1,30,5,2,1,2,0,18,5,0,2,0,1,0,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
3,3,1,3,December,2,6,0,8,3,0,2,0,4,0,-1,1,4,3,2,3,1,0,2,0,0,4,3,1,0,0,1,1,0,0,0,0,0,9,4,0,0,1,2,3,4,1,2,2,3,2,3,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0
2,1,1,5,May,4,6,0,18,5,1,1,0,5,0,-1,0,2,11,3,1,1,1,1,0,0,3,2,0,0,1,0,0,0,0,1,0,1,9,4,0,0,1,3,1,2,0,19,5,4,4,3,1,10,3,0,3,0,0,0,1,0,0,0,0,2,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0
2,2,0,4,January,1,1,1,5,2,0,1,1,2,1,1,1,1,11,3,1,1,1,1,0,0,8,4,0,0,0,0,0,0,0,1,0,0,9,4,0,0,0,4,3,4,1,17,5,3,1,1,0,17,5,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
3,2,1,4,August,2,1,0,14,4,0,4,0,3,1,2,1,3,21,4,1,1,1,2,0,1,3,2,1,0,1,0,0,0,1,0,0,0,3,4,1,0,0,4,1,4,0,12,4,3,2,4,1,9,3,1,3,0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3,3,1,5,April,3,1,0,8,3,0,4,1,5,0,-1,1,1,23,4,4,1,1,3,1,0,1,1,1,0,1,0,0,0,0,1,0,0,2,5,0,0,0,3,3,1,0,9,3,5,4,4,0,5,2,1,2,0,0,0,0,1,0,1,0,2,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0
4,1,1,5,April,5,3,0,11,4,0,3,0,4,1,4,1,1,9,3,0,-1,-1,-1,-1,0,6,3,0,1,0,0,0,1,0,0,0,0,9,5,0,0,1,1,4,2,1,12,4,4,1,2,0,10,3,1,2,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0
5,4,1,5,April,4,1,0,6,3,0,5,0,4,1,3,0,2,23,4,5,1,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,9,4,0,0,1,4,3,1,0,35,5,1,1,4,1,26,5,1,3,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2,1,1,3,June,4,2,0,1,1,0,2,0,4,1,3,0,2,5,2,3,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,9,4,0,0,1,3,2,4,0,11,4,2,4,3,0,11,4,1,3,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
4,1,1,6,August,1,4,0,36,5,1,2,0,3,1,3,0,2,26,5,2,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,9,6,1,0,0,1,2,4,0,30,5,2,1,3,0,24,5,0,2,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0
5,3,0,2,June,3,6,0,0,1,0,1,1,1,1,2,0,2,2,1,0,-1,-1,-1,-1,0,4,3,0,0,0,1,0,0,0,1,0,0,9,2,1,0,1,4,3,2,0,4,2,1,1,3,0,4,2,1,1,1,0,1,0,0,0,0,0,4,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0
2,1,1,4,March,1,1,0,5,2,0,2,0,4,0,-1,0,2,14,3,2,1,0,1,0,1,5,3,0,0,0,0,1,0,0,0,0,0,1,2,1,0,1,2,2,3,0,16,5,1,1,3,0,9,3,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0
4,1,0,2,October,4,1,0,0,1,0,2,0,1,1,4,1,3,3,2,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,4,4,4,0,6,3,3,3,2,0,2,2,0,3,1,0,1,0,1,0,1,0,4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
3,2,1,6,June,3,2,0,18,5,1,2,0,5,1,4,0,2,20,4,1,0,0,1,0,0,6,3,1,0,1,1,1,1,0,0,0,0,9,4,0,0,0,2,3,4,0,19,5,3,3,1,0,12,4,0,2,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0
2,2,0,6,July,1,1,0,31,5,1,1,0,4,1,1,0,2,21,4,2,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,2,6,0,0,0,1,1,3,0,33,5,3,2,1,0,25,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0
4,3,1,3,August,5,1,0,0,1,0,3,1,4,0,-1,0,1,6,2,2,1,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,6,1,0,0,4,3,3,0,3,2,3,1,2,0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
2,1,1,4,March,3,3,0,7,3,0,2,0,4,0,-1,0,2,10,3,3,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,4,0,1,1,1,1,3,0,21,5,3,4,3,0,12,4,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
5,1,0,3,February,2,2,0,1,1,0,1,0,2,1,3,0,1,9,3,5,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,9,6,0,0,1,2,4,3,0,12,4,4,2,4,0,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0
1,4,0,4,February,1,2,0,9,3,0,2,0,3,0,-1,0,2,19,4,2,1,0,1,0,0,5,3,1,0,0,0,1,1,0,0,0,0,9,1,0,1,1,2,2,2,0,9,3,3,3,3,0,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0
3,2,1,2,May,2,3,1,1,1,0,1,1,1,1,2,1,3,1,1,3,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,2,2,0,1,1,5,1,4,0,3,2,3,1,2,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
3,1,1,5,September,1,5,1,31,5,1,1,0,1,1,1,1,3,29,5,3,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,9,3,0,0,0,2,2,1,0,37,5,3,3,4,0,28,5,0,3,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0
4,3,0,3,May,2,2,1,4,2,0,4,0,4,1,2,1,1,5,2,2,0,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,9,5,0,0,1,1,2,1,0,8,3,4,2,4,1,8,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0
2,1,0,6,August,4,2,1,7,3,0,4,0,3,0,-1,1,1,39,5,1,0,0,3,0,0,5,3,0,0,0,0,1,0,0,0,0,0,2,5,1,0,1,1,3,2,1,36,5,4,4,1,0,27,5,1,2,1,0,1,1,1,1,1,1,4,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0
3,2,0,4,May,3,6,0,10,3,0,3,0,2,1,2,1,1,12,3,5,1,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,9,2,1,0,1,1,2,1,0,15,4,2,3,2,0,9,3,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
4,3,1,3,August,3,2,0,3,2,0,2,0,4,0,-1,1,1,8,3,3,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,9,5,0,0,1,1,2,1,0,14,4,4,4,3,0,7,3,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0
2,2,0,6,December,5,1,1,13,4,1,1,0,3,1,2,1,4,42,5,2,0,0,1,0,0,4,3,1,1,0,1,0,0,0,1,0,1,9,4,0,1,0,4,2,4,0,39,5,3,3,4,0,30,5,0,2,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0
5,3,1,4,November,1,3,0,17,5,0,3,1,5,0,-1,1,1,10,3,4,1,1,3,0,1,1,1,1,0,0,1,0,0,0,0,0,0,9,5,0,0,0,2,4,4,0,16,5,3,4,1,1,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
3,3,1,5,February,4,6,0,22,5,0,4,0,4,1,5,0,2,17,4,2,1,0,2,0,1,1,1,1,0,1,0,0,1,0,0,0,0,9,6,1,0,1,1,2,4,0,12,4,3,1,1,0,7,3,1,3,1,1,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0
3,4,1,5,May,4,1,0,7,3,0,4,0,3,1,2,1,1,34,5,2,1,0,3,0,1,1,1,1,0,1,0,0,0,0,0,0,0,9,5,1,0,1,2,2,3,0,31,5,4,2,2,0,24,5,0,2,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0
