age,ed,lninc,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,spoused,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,carvalue,commutetime,tenure,longmon,lnlongmon,longten,lnlongten,tollmon,tollten,equipmon,equipten,cardmon,cardten,wiremon,wireten,hourstv,income,total_spend,total_spend_ln
59,19,3.8501476017100584,8.6,1.3581119999999998,0.3060954999624963,2.683888,0.987266489475726,-1,1,7,3,0,0,0,0,0,4,28.0,17.0,50,8.55,2.145931282948669,446.55,6.101551376129895,0.0,0.0,31.2,1568.35,19.0,930.0,0.0,0.0,26,47,811.04,6.698317374724039
33,8,2.9444389791664403,0.8999999999999999,0.130131,-2.0392136435999286,0.11429904,-2.1682409342213766,9,5,6,0,0,0,0,0,0,6,9.3,28.0,9,3.6,1.2809338454620642,37.0,3.6109179126442243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,19,393.43,5.974903161308757
44,10,4.290459441148391,2.8000000000000003,1.250928,0.22388567587164707,0.793072,-0.23184126701740562,-1,1,1,0,1,0,0,0,0,0,38.5,25.0,5,6.75,1.9095425048844386,29.9,3.3978584803966405,0.0,0.0,0.0,0.0,7.0,30.0,0.0,0.0,21,73,732.75,6.5968045795910015
58,18,4.143134726391533,10.5,1.9249649999999996,0.6549077857562743,4.690035,1.5454400451169095,-1,1,0,0,0,0,0,0,0,0,-1.0,16.0,58,12.1,2.4932054526026954,680.75,6.5231951315538685,30.75,1776.7,0.0,0.0,24.5,1415.0,0.0,0.0,21,63,978.44,6.88595946661168
72,20,2.833213344056216,9.8,1.276156,0.24385243450310526,0.3898440000000001,-0.9420086198797845,17,2,0,0,0,0,0,0,0,0,9.3,32.0,67,13.9,2.631888840136646,954.05,6.860716080976351,0.0,0.0,38.55,2580.75,23.25,1525.0,0.0,0.0,24,17,273.1,5.609838028479659
66,13,3.1354942159291497,9.3,0.934743,-0.06748365378627834,1.2042569999999997,0.18586277925782166,12,2,9,3,0,0,0,0,0,6,11.600000000000001,14.0,72,38.7,3.655839600035736,2854.9,7.956792095206974,27.0,1919.0,0.0,0.0,64.25,4011.19999999999,43.25,3159.25,22,23,396.12,5.981717195653102
57,17,5.14166355650266,9.5,1.803195,0.5895600914512608,14.441805,2.670127125652831,16,3,1,0,1,0,0,0,0,0,75.8,19.0,48,4.15,1.423108334242607,214.85,5.3699401102210045,28.75,1444.65,43.15,1990.25,29.25,1315.0,40.2,1840.45,17,171,402.17,5.996874884800257
63,14,5.605838763584888,10.7,13.111352,2.573478419842022,24.064260000000036,3.180802494885117,20,2,0,0,0,0,0,0,0,0,88.60000000000001,29.0,70,34.8,3.5496173867804286,2540.15,7.839978413387008,45.25,3165.45,0.0,0.0,19.75,1325.0,0.0,0.0,24,424,1294.06,7.165539841837513
28,11,3.1354942159291497,4.8,0.19099200000000002,-1.6555237366294544,0.913008,-0.09101063610354213,12,3,10,1,0,0,0,0,0,9,-1.0,30.0,34,3.45,1.2383742310432684,110.45,4.7045629298661265,33.0,1099.65,0.0,0.0,16.5,545.0,0.0,0.0,16,23,586.78,6.374649962525065
78,16,3.091042453358316,15.2,0.6922079999999999,-0.36786879049431287,2.651792,0.9752356378751661,-1,1,0,0,0,0,0,0,0,0,10.8,23.0,14,7.3,1.9878743481543455,85.6,4.449685283147696,0.0,0.0,24.85,341.75,31.75,350.0,0.0,0.0,22,22,8.11,2.0930978681273213
61,16,3.5553480614894135,10.100000000000001,1.2337150000000001,0.2100299425688263,2.301285,0.8334676625749683,12,2,0,0,0,0,0,0,0,0,9.4,34.0,53,11.2,2.4159137783010487,567.05,6.34044748326134,0.0,0.0,0.0,0.0,9.5,480.0,0.0,0.0,25,35,512.36,6.239027502962935
70,17,3.332204510175204,9.3,1.1952360000000002,0.17834365542473107,1.408764,0.34271272421066723,17,2,9,0,0,1,0,0,0,8,15.700000000000001,29.0,59,14.25,2.6567569067146595,805.8,6.691835572757247,23.5,1366.65,0.0,0.0,15.25,840.0,0.0,0.0,21,28,347.25,5.850044981634453
61,14,2.4849066497880004,21.5,0.56502,-0.5708941502321102,2.01498,0.700609269791075,-1,1,0,0,0,0,0,0,0,0,5.800000000000001,25.0,61,8.35,2.122261538862764,476.95,6.167411663591217,0.0,0.0,29.1,1790.8,11.5,675.0,0.0,0.0,13,12,308.66,5.732240347472685
37,11,3.367295829986474,15.7,3.319137,1.1997048093791662,1.233863,0.21014989825020883,-1,1,0,0,0,0,0,0,0,0,-1.0,29.0,39,13.1,2.5726122302071057,504.45,6.223468726854389,28.5,1028.1,43.5,1663.95,10.5,380.0,31.5,1199.2,21,29,744.08,6.612148555934212
39,12,4.867534450455582,11.3,4.68611,1.5446028139884935,10.003890000000002,2.3029740173531614,14,4,5,0,0,0,0,0,0,5,49.2,32.0,6,1.85,0.6151856390902335,11.15,2.411439497906128,13.25,93.0,0.0,0.0,24.5,140.0,0.0,0.0,31,130,698.88,6.549479053676431
73,14,4.23410650459726,14.799999999999999,1.1641679999999999,0.1520066687915957,9.047832,2.2025251710021814,15,2,0,0,0,0,0,0,0,0,22.8,27.0,62,25.45,3.2367157429965316,1565.6,7.356024416081866,17.75,1031.4,47.15,2874.15,10.0,595.0,53.2,3245.6,22,69,293.11,5.680547965183287
26,16,3.1780538303479458,11.700000000000001,1.297296,0.2602820982631665,1.5107040000000003,0.4125757673432122,17,6,1,0,1,0,0,0,0,0,9.8,27.0,26,5.8,1.7578579175523736,149.4,5.006627272698717,0.0,0.0,27.05,728.55,5.5,145.0,0.0,0.0,17,24,548.6700000000001,6.307497167884594
24,17,3.367295829986474,14.000000000000002,1.3925800000000002,0.33115814179744424,2.6674200000000003,0.9811117131161149,-1,1,12,0,1,0,0,0,0,11,-1.0,14.0,11,3.95,1.3737155789130306,42.4,3.7471483622379123,0.0,0.0,19.65,172.75,0.0,0.0,0.0,0.0,13,29,304.5,5.718671087149952
77,15,2.3978952727983707,10.2,0.255816,-1.3632968429271917,0.8661839999999998,-0.1436579218568565,-1,1,2,0,2,0,0,0,0,0,3.1,21.0,72,65.20100000000002,4.1774747946061055,4689.065999999999,8.452987680631336,58.752500000000055,3977.270500000003,0.0,0.0,40.75,2865.0,0.0,0.0,23,11,302.01,5.710460129409442
36,19,3.4011973816621555,15.5,0.41385,-0.8822516896507323,4.23615,1.4436548378770864,-1,1,7,0,0,0,0,0,0,7,13.100000000000001,24.0,37,6.7,1.9021075263969205,233.85,5.454679884171895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,30,479.87,6.173515233886633
55,14,4.382026634673881,6.5,0.03316008,-3.4016901129336294,5.1688,1.6426405532618187,-1,1,9,2,0,0,0,0,0,7,35.0,25.0,47,12.25,2.505525936990736,524.4,6.262254751889545,0.0,0.0,0.0,0.0,22.25,1000.0,0.0,0.0,25,80,465.42999999999995,6.1429617094696765
60,18,3.9318256327243257,7.8,1.2093120000000002,0.19005160285586523,2.768688,1.018373561784063,13,2,2,2,0,0,0,0,0,0,25.200000000000003,26.0,71,36.35,3.5931942039795284,2586.85,7.858196198286209,51.25,3624.85,55.15,3679.4575,28.5,2090.0,55.8,3819.5,20,51,156.99,5.0561821090522265
59,8,3.4011973816621555,2.8000000000000003,0.26292000000000004,-1.3359054755867614,0.5770799999999999,-0.5497743739045656,10,4,1,0,1,0,0,0,0,0,-1.0,15.0,3,5.5,1.7047480922384253,19.35,2.962692419475791,19.75,52.6,0.0,0.0,30.0,45.0,0.0,0.0,29,30,444.14,6.096139828046113
28,11,2.833213344056216,8.200000000000001,0.15055200000000002,-1.893446739519585,1.243448,0.21788816593620455,14,6,1,1,0,0,0,0,0,0,8.200000000000001,23.0,16,7.85,2.060513531794317,116.3,4.7561730595246186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,17,454.36,6.118889835363221
53,20,4.948759890378168,9.9,9.589833,2.2607034747708337,4.369167000000001,1.4745723730886375,17,3,1,0,1,0,0,0,0,0,-1.0,23.0,36,3.4,1.2237754316221157,122.0,4.804021044733257,29.0,1042.4,49.25,1693.6,22.25,790.0,61.25,2209.2,10,141,644.6700000000001,6.468738557962579
36,12,3.8066624897703196,8.3,0.8889300000000001,-0.1177367867258816,2.84607,1.04593909528929,-1,2,3,0,0,3,0,0,0,0,21.200000000000003,26.0,38,6.75,1.9095425048844386,244.7,5.5000329704486255,0.0,0.0,27.4,1123.6,0.0,0.0,0.0,0.0,29,45,766.85,6.6422912150967885
47,20,4.919980925828125,13.700000000000001,3.3033440000000005,1.1949352887301277,15.465656000000001,2.7386218236014477,19,2,2,2,0,0,0,0,0,0,78.10000000000001,21.0,69,22.05,3.093312601892855,1473.3,7.295260061713309,0.0,0.0,44.85,2973.0,28.25,1885.0,36.45,2475.25,22,137,974.35,6.881770582010144
75,11,2.302585092994046,2.4,0.03888,-3.247275299389899,0.20112,-1.6038535341401998,-1,1,1,1,0,0,0,0,0,0,4.9,24.0,46,19.8,2.9856819377004897,884.75,6.785305119225573,24.75,1058.0,0.0,0.0,14.0,640.0,0.0,0.0,21,10,262.74,5.571164950041362
49,21,4.290459441148391,9.2,1.4372239999999998,0.3627134752550087,5.278776000000001,1.663694252662364,20,5,13,2,0,0,0,0,0,11,33.9,19.0,31,7.0,1.9459101490553132,238.0,5.472270673671475,19.5,598.55,57.25,1740.25,0.0,0.0,62.3,1879.25,22,73,99.61,4.601262561157074
59,13,4.143134726391533,6.0,0.5934599999999999,-0.5217854640023328,3.18654,1.1589356886512148,-1,1,0,0,0,0,0,0,0,0,36.2,16.0,41,13.0,2.5649493574615367,479.0,6.171700597410915,19.25,775.6,0.0,0.0,9.0,330.0,19.35,764.35,13,63,439.06000000000006,6.084636077995777
55,12,3.912023005428146,5.1,1.0863,0.08277742645756819,1.4636999999999998,0.38096747650776397,11,3,0,0,0,0,0,0,0,0,31.8,21.0,49,9.3,2.2300144001592104,465.5,6.143112096717122,53.5,2663.3,0.0,0.0,42.0,2060.0,0.0,0.0,29,50,564.4200000000001,6.335798655211915
25,14,3.912023005428146,10.5,1.218,0.19721016928770527,4.032,1.3942625307690675,-1,5,1,0,1,0,0,0,0,0,-1.0,15.0,46,14.45,2.670694414558441,659.35,6.491254501253708,0.0,0.0,29.75,1319.5,26.5,1150.0,0.0,0.0,22,50,558.4000000000001,6.325075551448163
78,11,3.332204510175204,9.8,1.6354240000000002,0.49190209794685164,1.108576,0.10307630884265181,15,2,9,0,0,0,0,0,0,9,15.8,34.0,31,5.0,1.6094379124341003,133.35,4.892977250628023,0.0,0.0,0.0,0.0,10.75,295.0,0.0,0.0,20,28,391.13,5.969039985544281
48,11,3.1354942159291497,18.7,2.0515770000000004,0.7186087657078036,2.2494229999999997,0.810673738884385,-1,2,9,0,0,0,2,0,0,7,9.3,23.0,23,6.5,1.8718021769015913,169.8,5.134621273877247,34.75,763.75,0.0,0.0,15.75,345.0,19.7,387.9,28,23,351.20000000000005,5.861355861760962
47,19,4.31748811353631,2.1999999999999997,0.1023,-2.279845606024556,1.5476999999999999,0.43676995793657675,20,2,6,0,0,0,0,0,0,6,46.1,22.0,21,6.15,1.8164520818184267,141.25,4.9505313700265505,0.0,0.0,26.35,516.3,13.75,290.0,0.0,0.0,19,75,470.35,6.1534770984179605
75,10,3.332204510175204,3.3000000000000003,0.394548,-0.9300144730939653,0.529452,-0.6359127696078504,10,2,0,0,0,0,0,0,0,0,13.8,20.0,16,4.3,1.4586150226995167,75.0,4.31748811353631,22.5,368.3,0.0,0.0,0.0,0.0,0.0,0.0,12,28,617.0699999999999,6.424982469658182
43,19,3.4965075614664802,12.6,2.116422,0.7497269270042068,2.0415780000000003,0.7137230382482048,20,2,5,0,0,0,0,0,0,5,17.2,22.0,27,6.65,1.8946168546677629,201.55,5.306037489563175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,33,526.02,6.2653392348285495
45,10,3.784189633918261,13.600000000000001,0.98736,-0.01272056440938031,4.99664,1.6087656865408946,9,5,1,1,0,0,0,0,0,0,30.900000000000002,39.0,62,16.15,2.7819200496686656,1016.85,6.9244648925450845,0.0,0.0,0.0,0.0,28.25,1730.0,0.0,0.0,13,44,338.46000000000004,5.82440591697994
21,16,3.4339872044851463,9.2,0.77004,-0.26131281743171286,2.08196,0.7333097577123493,-1,1,6,1,0,0,2,0,0,3,16.0,25.0,13,4.75,1.55814461804655,47.55,3.8617817889913995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,31,285.76,5.655152297688134
53,21,5.605838763584888,9.4,14.280358400000008,2.65891009010391,11.239016000000001,2.419391296149317,-1,1,2,0,0,2,0,0,0,0,92.00100000000002,29.0,48,13.35,2.5915163848462583,661.55,6.49458556648842,45.0,2199.2,0.0,0.0,13.75,540.0,57.05,2716.6,13,284,1295.93,7.166983863107822
30,13,3.8918202981106265,2.1,0.193452,-1.6427258593002751,0.8355480000000002,-0.17966748196854634,-1,1,2,2,0,0,0,0,0,0,28.8,34.0,3,4.05,1.3987168811184478,11.15,2.411439497906128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,49,355.01,5.872145958092761
58,19,2.70805020110221,7.6,0.08436,-2.472661923371563,1.05564,0.05414721807044634,-1,1,4,0,0,0,0,0,0,4,9.200000000000001,20.0,42,16.55,2.806386101823072,710.95,6.566602103842383,0.0,0.0,0.0,0.0,30.75,1270.0,0.0,0.0,16,15,122.78,4.81039413599935
35,11,2.833213344056216,2.3,0.254932,-1.3667584360522553,0.13606800000000002,-1.9946005182044337,9,4,4,0,0,0,0,0,0,4,11.4,24.0,48,12.9,2.5572273113676265,555.75,6.320318552844306,0.0,0.0,0.0,0.0,10.0,515.0,0.0,0.0,26,17,345.62,5.8453399056258455
48,14,4.418840607796598,11.3,4.820805999999999,1.5729411339998294,4.558194,1.5169264924451582,13,2,7,0,1,0,0,0,0,6,36.0,26.0,37,5.6,1.7227665977411035,221.2,5.39906726964818,24.0,885.9,49.85,1886.7,33.0,1120.0,50.0,1710.15,22,83,293.82,5.682967334942281
57,15,4.406719247264253,29.2,1.12176,0.11489888047652054,24.064260000000036,3.180802494885117,-1,1,0,0,0,0,0,0,0,0,53.2,18.0,18,5.75,1.749199854809259,107.95,4.681668156960816,0.0,0.0,0.0,0.0,0.0,0.0,21.0,351.7,12,82,472.72,6.1585032470374195
61,20,4.127134385045092,2.3,0.537602,-0.6206367695420221,0.8883979999999999,-0.11833543820257982,18,4,2,0,2,0,0,0,0,0,-1.0,23.0,30,5.6,1.7227665977411035,174.05,5.159342614257448,28.25,793.05,0.0,0.0,12.75,330.0,0.0,0.0,18,62,794.1800000000001,6.6773101358064055
56,19,4.927253685157205,7.000000000000001,4.47258,1.4979654233285236,5.18742,1.6462364637511544,15,2,0,0,0,0,0,0,0,0,67.8,19.0,66,22.05,3.093312601892855,1442.05,7.273820991307563,42.75,2678.0,48.05,3054.8,32.25,2120.0,60.5,4054.25,14,138,1019.76,6.927322584474666
29,17,3.5553480614894135,5.7,1.0792950000000001,0.07630805020617136,0.915705,-0.08806101857976513,16,2,0,0,0,0,0,0,0,0,16.8,20.0,57,17.05,2.8361502037295256,934.0,6.839476438228843,30.75,1727.8,0.0,0.0,14.75,790.0,43.15,2437.2,22,35,707.38,6.561568003824347
68,11,3.5553480614894135,12.2,0.7429799999999999,-0.29708615252707504,3.52702,1.260453321779374,16,2,0,0,0,0,0,0,0,0,13.9,19.0,64,17.7,2.8735646395797834,1114.0,7.01571242048723,0.0,0.0,0.0,0.0,25.5,1585.0,0.0,0.0,21,35,458.87,6.1287669455440685
22,16,2.995732273553991,5.2,0.27976,-1.2738231862270166,0.76024,-0.2741211060790772,13,4,3,3,0,0,0,0,0,0,-1.0,19.0,29,7.2,1.9740810260220096,220.9,5.397710110426072,0.0,0.0,21.4,559.85,0.0,0.0,0.0,0.0,18,20,592.83,6.384907679988821
46,10,3.2188758248682006,7.7,0.47740000000000005,-0.7394005650774073,1.4476,0.3699070127074503,-1,1,6,0,0,0,0,0,0,6,13.4,26.0,31,9.2,2.2192034840549946,322.5,5.776103136235827,17.5,552.75,0.0,0.0,0.0,0.0,0.0,0.0,20,25,246.96000000000004,5.509226380193904
24,17,3.4965075614664802,3.9,0.428571,-0.8472988603877036,0.8584289999999999,-0.15265130445252387,19,3,1,1,0,0,0,0,0,0,16.8,30.0,5,5.95,1.7833912195575383,38.25,3.644143560272545,0.0,0.0,41.85,163.4,0.0,0.0,25.4,89.6,22,33,284.64,5.651225223917525
78,16,3.4657359027997265,23.1,3.171168,1.1540999742852631,4.220832,1.4400322650132562,17,2,9,0,0,0,0,0,0,9,14.8,22.0,39,6.75,1.9095425048844386,234.75,5.458521118088372,43.75,1739.95,0.0,0.0,16.5,620.0,32.2,1224.05,20,32,296.8,5.693058511293225
73,10,2.772588722239781,3.0,0.29856,-1.2087843613231581,0.18144,-1.70683025844275,10,4,5,0,0,0,0,3,0,0,7.0,19.0,66,19.1,2.9496883350525844,1231.75,7.116191201424073,0.0,0.0,0.0,0.0,28.5,1900.0,0.0,0.0,31,16,370.95000000000005,5.916067282635535
26,20,4.1588830833596715,3.9,0.391872,-0.9368200231266478,2.104128,0.7439011295268998,-1,1,2,1,1,0,0,0,0,0,27.3,33.0,8,2.05,0.7178397931503168,15.45,2.7376090033437546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,64,520.74,6.255250876884208
44,15,3.4339872044851463,14.799999999999999,2.105892,0.7447391303455323,2.482108,0.9091081991314688,-1,1,12,0,0,0,0,0,0,11,13.5,21.0,52,12.25,2.505525936990736,629.55,6.445005278447709,0.0,0.0,0.0,0.0,27.0,1400.0,0.0,0.0,24,31,785.06,6.665760147982565
30,12,2.8903717578961645,14.499999999999998,0.7986599999999999,-0.22481995569515434,1.81134,0.5940669028592694,15,4,0,0,0,0,0,0,0,0,10.200000000000001,21.0,27,3.2,1.1631508098056809,86.3,4.457829598089382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,18,368.57,5.909630652883846
44,8,3.713572066704308,3.1,0.151249,-1.8888277936632907,1.119751,0.1131063391613594,-1,1,0,0,0,0,0,0,0,0,16.400000000000002,32.0,14,5.7,1.7404661748405046,75.95,4.330075229041782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,41,431.22,6.066618400708406
21,12,3.091042453358316,2.7,0.27561599999999997,-1.288746686375374,0.318384,-1.1444970775308272,12,2,0,0,0,0,0,0,0,0,11.5,29.0,6,4.55,1.5151272329628591,26.35,3.2714682749873716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,22,635.3900000000001,6.454238983593849
62,9,2.6390573296152584,15.0,0.5754,-0.5526898278646895,1.5246,0.4217320805720363,11,2,3,0,1,0,0,2,0,0,5.1000000000000005,18.0,70,41.75,3.7316994512968646,2817.05,7.943445517097626,28.75,2108.75,0.0,0.0,38.25,2655.0,0.0,0.0,16,14,95.33,4.557344556505487
33,14,4.406719247264253,6.9,3.7455960000000004,1.3205807498342468,1.912404,0.6483610893802572,14,2,5,0,0,0,0,0,0,5,58.400000000000006,30.0,21,4.45,1.4929040961781488,81.7,4.403054001865957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,82,474.16999999999996,6.161565907184644
65,17,4.51085950651685,0.7000000000000001,0.09473100000000001,-2.356713982832455,0.178269,-1.7244616335028833,-1,1,0,0,0,0,0,0,0,0,53.900000000000006,17.0,68,22.0,3.091042453358316,1487.15,7.304616815616134,0.0,0.0,55.95,3679.4575,19.0,1325.0,78.30400000000009,4530.186000000002,17,91,542.15,6.295542715918191
38,16,4.30406509320417,4.7,0.6990780000000001,-0.3579929549909699,2.778922,1.022063082716229,12,2,0,0,0,0,0,0,0,0,36.5,27.0,36,14.1,2.6461747973841225,521.9,6.257475998649367,24.75,888.9,0.0,0.0,0.0,0.0,0.0,0.0,18,74,913.6600000000001,6.817458511000978
34,15,3.828641396489095,2.1,0.35838600000000004,-1.0261446611443208,0.6076140000000001,-0.4982154670513154,-1,2,2,2,0,0,0,0,0,0,17.5,28.0,31,10.8,2.379546134130174,354.45,5.870567292301026,25.0,733.35,0.0,0.0,0.0,0.0,0.0,0.0,20,46,225.01999999999998,5.416189287142926
78,20,2.6390573296152584,8.200000000000001,0.30766400000000005,-1.1787470005739056,0.8403360000000001,-0.17395346712345072,14,2,4,0,0,0,0,0,0,4,8.0,25.0,72,35.8,3.5779478934066544,2537.2,7.838816389759742,0.0,0.0,0.0,0.0,55.5,3980.0,0.0,0.0,16,14,414.08000000000004,6.0260591918724815
47,10,4.219507705176107,22.0,5.4005600000000005,1.6865026518970752,9.55944,2.257529147941729,-1,1,0,0,0,0,0,0,0,0,40.5,26.0,28,7.95,2.0731719286662407,213.9,5.36550861608836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,68,835.3400000000001,6.727838827602027
60,19,4.61512051684126,7.199999999999999,1.498032,0.4041522466826218,5.773967999999999,1.7533595391401762,20,2,2,0,1,1,0,0,0,0,39.7,30.0,14,10.1,2.312535423847214,121.55,4.800325700762133,26.0,364.35,39.05,494.8,18.0,215.0,22.65,271.75,17,101,1661.44,7.415439975195561
61,17,4.795790545596741,9.1,4.085081,1.4073415567567522,6.9259189999999995,1.9352707508497575,12,2,5,0,2,3,0,0,0,0,67.7,28.0,60,9.5,2.2512917986064953,540.0,6.29156913955832,25.25,1485.25,0.0,0.0,21.75,1360.0,0.0,0.0,19,121,375.29999999999995,5.927725706140975
77,11,2.9444389791664403,15.299999999999999,0.8662860000000001,-0.1435401708999936,2.040714,0.7132997466204128,-1,1,8,0,0,0,0,0,0,8,9.8,30.0,32,5.05,1.6193882432872684,150.0,5.0106352940962555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,19,108.45,4.6862892372728835
21,16,3.4011973816621555,13.5,1.2271500000000004,0.2046944076456802,2.8228500000000003,1.0377470128968347,13,4,0,0,0,0,0,0,0,0,9.9,31.0,10,4.7,1.547562508716013,52.35,3.9579519373165457,0.0,0.0,24.7,190.85,0.0,0.0,0.0,0.0,20,30,757.79,6.630406302403475
31,19,3.7612001156935624,2.1,0.706146,-0.34793326400197755,0.19685399999999997,-1.6252929417581998,-1,3,4,0,0,0,0,0,0,4,28.5,37.0,2,4.3,1.4586150226995167,6.3,1.840549633397487,0.0,0.0,32.85,42.85,27.0,25.0,28.75,22.3,16,43,378.04999999999995,5.935026462004279
74,11,2.8903717578961645,1.4000000000000001,0.054432,-2.910803062768686,0.197568,-1.6216724501024429,-1,1,7,0,0,0,0,0,0,7,11.0,32.0,50,14.8,2.6946271807700692,708.25,6.562797138710626,23.75,1123.5,0.0,0.0,15.25,700.0,0.0,0.0,24,18,399.28000000000003,5.989662925161354
27,20,3.7376696182833684,16.400000000000002,1.370712,0.31533031286778496,5.517288,1.7078864352116518,16,4,2,0,2,0,0,0,0,0,17.8,27.0,41,15.65,2.750470916986162,580.35,6.363631369814632,0.0,0.0,49.0,2046.8,17.75,695.0,49.25,2032.4,20,42,450.3,6.109914027307526
64,10,5.605838763584888,11.700000000000001,14.280358400000008,2.65891009010391,22.725846,3.1235028670933804,16,2,0,0,0,0,0,0,0,0,85.80000000000001,23.0,72,65.20100000000002,4.1774747946061055,4689.065999999999,8.452987680631336,58.752500000000055,3977.270500000003,0.0,0.0,24.25,1770.0,0.0,0.0,16,327,905.97,6.809006192911964
72,18,3.4011973816621555,6.9,0.17595000000000002,-1.7375554152145427,1.8940500000000002,0.638717393570662,14,2,3,0,0,0,0,3,0,0,12.8,20.0,40,12.4,2.517696472610991,507.25,6.229003978705924,18.0,713.6,0.0,0.0,0.0,0.0,0.0,0.0,24,30,103.75,4.641984159110808
66,16,4.564348191467836,15.6,8.326656,2.1194619350036814,6.649343999999999,1.8945182031853238,20,2,0,0,0,0,0,0,0,0,44.1,31.0,70,24.55,3.2007118542405295,1858.25,7.5273904636054025,25.5,1819.25,0.0,0.0,34.0,2385.0,0.0,0.0,22,96,603.76,6.403176767976613
